tag,modelo,modo,otimizador,lr,epoca,loss_train,loss_val,acc_train,acc_val,tempo_s,vram_mb
resnet50_fine_tuning_sgd_1e2,resnet50,fine_tuning,sgd,0.01,1,0.11826,0.025378,0.961454,0.992903,1152.658439,1653.359375
efficientnet_b0_fine_tuning_adamw_1e4,efficientnet_b0,fine_tuning,adamw,0.0001,1,0.241766,0.034609,0.93303,0.991503,570.498954,1452.541504
mobilenet_v3_large_fine_tuning_adamw_1e4,mobilenet_v3_large,fine_tuning,adamw,0.0001,1,0.132571,0.027775,0.959176,0.991204,371.786585,770.144043
vit_b_16_fine_tuning_adamw_1e4,vit_b_16,fine_tuning,adamw,0.0001,1,0.077589,0.035632,0.977032,0.989104,3789.365741,3284.887695
resnet50_fine_tuning_adamw_1e4,resnet50,fine_tuning,adamw,0.0001,1,0.229611,0.041144,0.932541,0.988904,1171.380135,1747.516113
resnet50_fine_tuning_adamw_1e3,resnet50,fine_tuning,adamw,0.001,1,0.097277,0.039776,0.969065,0.988205,1171.914631,1747.516113
resnet50_fine_tuning_sgd_1e3,resnet50,fine_tuning,sgd,0.001,1,0.301618,0.086214,0.913274,0.97431,1152.992543,1653.359375
resnet50_fine_tuning_adamw_1e2,resnet50,fine_tuning,adamw,0.01,1,0.261135,0.088701,0.919874,0.97421,1165.330515,1747.516113
vit_b_16_feature_extraction_adamw_1e3,vit_b_16,feature_extraction,adamw,0.001,1,0.139539,0.091755,0.958709,0.972011,3427.125204,473.889648
resnet50_feature_extraction_adamw_1e3,resnet50,feature_extraction,adamw,0.001,1,0.266741,0.119548,0.921074,0.967913,449.679866,277.88623
mobilenet_v3_large_feature_extraction_adamw_1e3,mobilenet_v3_large,feature_extraction,adamw,0.001,1,0.271114,0.128202,0.916463,0.959416,180.261338,155.067871
efficientnet_b0_feature_extraction_adamw_1e3,efficientnet_b0,feature_extraction,adamw,0.001,1,0.325603,0.157665,0.895862,0.954918,234.154169,202.95459
resnet50_fine_tuning_sgd_1e4,resnet50,fine_tuning,sgd,0.0001,1,0.905901,0.392531,0.796091,0.912735,1152.289271,1653.359375
custom_cnn_adamw_1e3,custom_cnn,feature_extraction,adamw,0.001,1,0.651218,0.398223,0.768134,0.854558,379.125994,554.634277
